各級學校及海青班在學僑生人數,,,,,,,,,,,
,,,,,,,,,,, 單位：人
學年度,總 計,各　　　　級　　　　學　　　　校,,,,,,,,,
,, 計   ,"公私立
大　學","國防
醫學院","僑　生
先修部","專科
學校",高國中,"職業
學校",國小,"各級
補校",海青班
96,12556,12137,9450,75,1348,226,576,263,123,76,419
97,13223,12661,10047,74,1344,186,605,220,132,53,562
98,14788,14109,11228,72,1628,152,602,160,267, - ,679
99,15525,14664,11951,75,1554,109,545,147,283, - ,861
100,16215,15333,13193,75,968,66,597,139,295, - ,882
101,17750,16472,14214,74,1141,55,516,134,338, - ,1278
102,19300,18068,15866,80,1123,66,505,115,313,,1232
103,22685,21437,18741,81,1248,64,918,0,385,,1248
104,25944,24765,21802,88,990,58,642,779,400,6,1179
